N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5000005363,3.5,32.5,9.285714285714286
5000005364,3.5,26.5,7.571428571428571
5000005365,3.5,24.5,7.0
5000005366,3.5,23.0,6.571428571428571
5000005367,3.5,12.5,3.5714285714285716
5000002619,3.5,48.0,13.714285714285714
5000002621,3.5,24.5,7.0
5000005239,3.5,48.0,13.714285714285714
5000005240,3.5,48.0,13.714285714285714
5000005241,3.5,23.0,6.571428571428571
5000005242,3.5,5.5,1.5714285714285714
5000005243,3.5,5.5,1.5714285714285714
5000005244,3.5,5.5,1.5714285714285714
5000005245,3.5,5.5,1.5714285714285714
5000005246,3.5,5.5,1.5714285714285714
5000005247,3.5,5.5,1.5714285714285714
5000013302,3.5,26.5,7.571428571428571
5000013303,3.5,3.0,0.8571428571428571
5000013304,3.5,3.0,0.8571428571428571
5000013305,3.5,3.0,0.8571428571428571
5000002626,3.5,93.0,26.571428571428573
5000005258,3.5,93.0,26.571428571428573
5000005259,3.5,93.0,26.571428571428573
5000005260,3.5,80.0,22.857142857142858
5000005261,3.5,16.0,4.571428571428571
5000013234,3.5,80.0,22.857142857142858
5000013235,3.5,80.0,22.857142857142858
5000013236,3.5,19.0,5.428571428571429
5000013237,3.5,19.0,5.428571428571429
5000013238,3.5,19.0,5.428571428571429
5000013239,3.5,16.0,4.571428571428571
5000013240,3.5,16.0,4.571428571428571
5000005251,3.5,50.0,14.285714285714286
5000005252,3.5,50.0,14.285714285714286
5000005253,3.5,50.0,14.285714285714286
5000005254,3.5,80.0,22.857142857142858
5000005255,3.5,80.0,22.857142857142858
5000013319,3.5,80.0,22.857142857142858
5000013320,3.5,19.0,5.428571428571429
5000013321,3.5,19.0,5.428571428571429
5000013322,3.5,19.0,5.428571428571429
5000013323,3.5,16.0,4.571428571428571
5000013324,3.5,16.0,4.571428571428571
5000013325,3.5,16.0,4.571428571428571
5000041369,3.5,14.0,4.0
5000042031,3.5,14.0,4.0
5000042032,3.5,14.0,4.0
5000041363,3.5,14.0,4.0
5000041364,3.5,14.0,4.0
5000041366,3.5,14.0,4.0
5000041253,3.5,14.0,4.0
5000042023,3.5,14.0,4.0
5000042024,3.5,14.0,4.0
5000041225,3.5,14.0,4.0
5000041250,3.5,14.0,4.0
5000041387,3.5,14.0,4.0
5000005402,3.5,5.5,1.5714285714285714
5000005403,3.5,5.5,1.5714285714285714
5000005404,3.5,5.5,1.5714285714285714
5000005405,3.5,80.0,22.857142857142858
5000005406,3.5,41.5,11.857142857142858
